위치,구분,질문,답변,비고
마이페이지,매물찾기,주소검색이 잘 안 돼요. 어떻게 검색해야 하는 거죠?,"아파트 이름, 동 이름 등으로 검색하신 후, 지도에서 해당 매물을 클릭해주시기를 바랍니다.
지도에서 위치 이동을 통해서도 해당 지역의 매물을 확인할 수 있습니다.",
마이페이지,매물찾기,"매물을 찾으려고 하는데, 허위 매물일까 봐 걱정돼요.",거래 등록을 위해서는 소유자(공유 시 최소 소유자 1인)의 확인을 거친 매물만 거래로 등록하여 진행되므로 허위 매물은 존재하지 않습니다. ,
마이페이지,채팅,거래 참여 중인데 채팅방을 나가고 싶어요. 나가도 되나요?,"네, 가능합니다. 거래참여 후 채팅방을 나가더라도, 거래참여 내용 및 중개사님과의 기존의 대화 내용은 거래 관리를 위하여 유지됩니다. 다시 채팅에 참여하기를 원하시는 경우, 채팅을 원하는 매물의 상세페이지 하단의 채팅 버튼을 클릭하시면 됩니다. 단, 방문일정이 예약된 경우에 채팅을 나가면 방문예약이 취소됩니다.",
마이페이지,채팅,소유자동의 전에 중개사와 채팅하고 싶어요.,"소유자동의가 되지 않으면, 중개사 배정이 완료되지 않아 채팅이 불가합니다. ",
마이페이지,채팅,중개인 없이 매도인/매수인과 직접 연락하고 싶어요.,"네고시오에서 당사자 간의 직접 채팅 기능은 제공하지 않습니다. (가격협의는 거래상세 화면에서, 그 외 협의는 중개사를 통해 진행하세요)",
마이페이지,채팅,중개사와 대화를 하고 싶어요.,"매물의 상세페이지에서 하단의 방문신청을 눌러주세요. 매물 방문신청을 하시면, 중개사와 채팅방이 만들어집니다.

이미 중개사와의 채팅이 개설된 경우에는, '매물 상세페이지 > 채팅' 혹은 '홈 > 채팅'으로도 중개사와의 채팅방 확인이 가능합니다. ",
마이페이지,채팅,중개사와 채팅을 시작하는 방법이 무엇인가요?,"매물의 상세페이지에서 하단의 방문신청을 눌러주세요. 매물방문 신청을 하시면, 중개사와 채팅방이 만들어집니다.",
마이페이지,채팅,"방문일정을 예약했는데 채팅방을 나가면, 방문 일정 예약이 취소되나요?","네, 방문일정을 예약 후 방문일 전 채팅방을 나가신 경우, 방문예약은 취소됩니다.
방문예약을 유지하고 싶으신 경우, 채팅방을 유지하여주시기를 바랍니다.
채팅방 나가기로 인하여 방문예약이 취소되었지만, 다시 예약을 원하시는 경우, 중개사님에게 채팅으로 요청해주시기를 바랍니다.",
마이페이지,채팅,거래를 완료했는데 필요한 게 생겼어요. 채팅을 다시 볼 수 있나요?,"중개사와의 채팅은 거래 완료 후 1주일간 보관되며, 그 이후에는 삭제됩니다. 기한 내에 확인하여 주시기 바랍니다.",
마이페이지,네고머니,네고머니를 인출하고 싶어요.,"네고머니의 인출은 아래의 절차로 가능합니다.
마이페이지 > 네고머니 > 인출 > 인출설정 > 인출
네고머니를 인출하기 위해서는 인출 설정의 단계에서 본인인증 및 '본인 명의의 인출용 계좌' 등록, 인출을 위한 간편 비밀번호 등록이 필요합니다.",삭제
마이페이지,신고,"방문했는데, 허위매물이었어요.","허위매물 등록행위는 네고시오에서 금지되며, 관련기관에 고발 대상이 됩니다. 네고시오로 신고해주세요.",
마이페이지,신고,중개사한테 개인적으로 연락이 와요.,네고시오에서 중개사가 고객에게 별도로 연락하여 타 매물을 권유하는 것은 금지된 행위입니다. 네고시로오로 신고해주세요.,
마이페이지,신고,"방문했는데, 중개사가 다른 매물을 권유했어요.",네고시오에서 중개사가 고객에게 타 매물을 권유하는 것은 금지된 행위입니다. 네고시오로 신고해주세요. ,
마이페이지,신고,"중개사를 만나보니, 자격이 정지된 중개사였어요.","네고시오로 신고해주시면, 바로 조치하도록 하겠습니다.",
마이페이지,기타,알림을 더 받아보고 싶어요. 알림은 어디서 설정하나요?,"알림설정에서 세부 설정이 가능합니다.
알림설정으로 진입하기 위해서는 2가지 방법이 있습니다.
1. 홈 상단 알림버튼(🔔) > 우측 상단 더보기 버튼 ( ⋮ ) > 알림설정
2. 마이페이지 > 알림 더보기 버튼 (🔽) > 알림 전체보기 > 우측 상단 더보기 버튼 ( ⋮ ) > 알림설정",삭제
마이페이지,매물을 내놓고 싶어요.,급매는 어떻게 설정할 수 있나요?,"급매는 '네고'유형의 매매에서만 중개사님을 통해 설정할 수 있습니다. 

매물등록 신청 과정에서 급매 희망 여부를 선택하여, 중개사님께 급매 설정을 요청할 수 있습니다. 

이미 거래 중인 매물의 경우, 중개사님께 채팅으로 급매 설정을 요청해주세요.",
마이페이지,거래에 참여하고 싶어요,급매는 어디서 찾을 수 있나요?,"급매는 매물목록에서 급매라고 표시되어있습니다.

지도에서 원하는 지역의 급매만 필터링해서 확인할 수도 있습니다. 

단, '급매'는 '네고'중인 '매매'에만 있습니다. 네고시오의 '급매' 표시는 집주인과 상의한 '중개사님'의 판단에 의한 표시입니다.",
